tanggal,wilayah,tavg,rh_avg,rr,ff_avg,tavg_imputed,rh_avg_imputed,ff_avg_imputed,rr_imputed,dum_ramadan,dum_idulfitri,dum_natal_newyr,tahun,tavg_flag,rh_avg_flag,ff_avg_flag,imputasi_flag,tavg_final,rh_avg_final,ff_avg_final,kabupaten,kode_wilayah,level_harga,komoditas,harga,harga_imputed
2021-04-30,Kota Bandung,22.9,84.0,0.0,0,22.9,84.0,0,False,0,0,0,2021,False,False,False,False,22.9,84.0,0,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,50000.0,False
2021-05-01,Kota Bandung,23.4,81.0,7.5,1,23.4,81.0,1,False,0,0,0,2021,False,False,False,False,23.4,81.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,50000.0,False
2021-05-02,Kota Bandung,24.0,78.0,0.0,2,24.0,78.0,2,False,0,0,0,2021,False,False,False,False,24.0,78.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,50000.0,False
2021-05-03,Kota Bandung,24.0,79.0,0.0,2,24.0,79.0,2,False,0,0,0,2021,False,False,False,False,24.0,79.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,45000.0,False
2021-05-04,Kota Bandung,23.6,78.0,0.0,1,23.6,78.0,1,False,0,0,0,2021,False,False,False,False,23.6,78.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,45000.0,False
2021-05-05,Kota Bandung,24.6,82.0,0.0,1,24.6,82.0,1,False,0,0,0,2021,False,False,False,False,24.6,82.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,50000.0,False
2021-05-06,Kota Bandung,23.8,80.0,10.8,2,23.8,80.0,2,False,0,1,0,2021,False,False,False,False,23.8,80.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,50000.0,False
2021-05-07,Kota Bandung,23.6,81.0,5.2,1,23.6,81.0,1,False,0,1,0,2021,False,False,False,False,23.6,81.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,50000.0,False
2021-05-08,Kota Bandung,25.0,75.0,0.7,2,25.0,75.0,2,False,0,1,0,2021,False,False,False,False,25.0,75.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,50000.0,False
2021-05-09,Kota Bandung,25.8,76.0,0.0,1,25.8,76.0,1,False,0,1,0,2021,False,False,False,False,25.8,76.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,50000.0,False
